文本内容,识别结果,风险原因
126,拒绝,中国国情:政治;中国特色:政治;社会主义:政治;中国国情:政治;习近平:政治;总书记:政治;中国特色:政治;中国特色:政治;社会主义:政治;十九大:政治;二十大:政治;社会主义:政治
127,通过,NA
128,拒绝,性:色情
129,通过,NA
130,拒绝,政府:政治
131,通过,NA
132,拒绝,政府:政治;国家教育部:政治;当地政府:政治;教育部:政治;教育部:政治
133,拒绝,中国梦:政治
134,拒绝,政府:政治;政府:政治
135,拒绝,政府:政治;中出:色情
136,通过,NA
137,通过,NA
138,拒绝,政府:政治
139,拒绝,vpn:暴恐违禁
140,拒绝,政府:政治
141,拒绝,当地政府:政治;政府:政治
142,拒绝,政府:政治
143,拒绝,政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;废物:谩骂
144,通过,NA
145,拒绝,派出所:政治
146,拒绝,中华人民共和国:政治;中华人民共和国:政治
147,拒绝,政府:政治
148,拒绝,政府:政治
149,拒绝,习近平:政治;中国特色:政治;社会主义:政治
150,拒绝,中国共产党:政治;政治:政治;党员:政治;党章:政治;党员:政治;党员素质:政治;党员:政治;政治觉悟:政治;党员:政治;党员:政治;党员素质:政治;党员:政治;党员:政治;反腐:政治;反腐:政治;党员:政治;社会主义:政治;党员:政治;政治:政治;党员:政治;党员:政治;党员:政治;反腐:政治
151,拒绝,派出所:政治;当地政府:政治
152,通过,NA
153,拒绝,专制:政治;愚民政策:政治;贪污腐败:政治;鸦片:暴恐违禁;鸦片:暴恐违禁
154,拒绝,监管局:政治;政府:政治;监管局:政治;监管局:政治;监管局:政治;监管局:政治;政府:政治;监管局:政治;监管局:政治
155,通过,NA
156,通过,NA
157,拒绝,赌博:违规广告;球彩:违规广告;球彩:违规广告
158,拒绝,陈冠希:色情;书记:政治
159,拒绝,政府:政治
160,拒绝,习近平:政治;中国特色:政治;社会主义:政治
161,通过,NA
162,通过,NA
163,拒绝,公务员:政治;公务员:政治;公务员:政治;政府:政治
164,拒绝,政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治
165,拒绝,中华人民共和国:政治
166,拒绝,政府:政治;政府:政治
167,通过,NA
168,通过,NA
169,通过,NA
170,拒绝,政治:政治;政治:政治
171,拒绝,政治:政治
172,拒绝,政治:政治
173,拒绝,当地政府:政治
174,拒绝,政治:政治;政治:政治;中出:色情;政治:政治;政治:政治
175,拒绝,政府:政治
176,拒绝,习近平:政治;中国特色:政治;社会主义:政治
177,通过,NA
178,拒绝,政府:政治
179,通过,NA
180,拒绝,教育部:政治
181,拒绝,宋庆龄:政治
182,拒绝,中国教育部:政治;教育部:政治
183,通过,NA
184,拒绝,约泡:色情
185,拒绝,政府:政治;人权:政治
186,拒绝,党中央:政治;政治:政治;民主集中制:政治;领导人:政治;中央文件:政治;政治素质:政治
187,拒绝,党员干部:政治;政府:政治;政治素质:政治;党员干部:政治;政治素质:政治;政治素质:政治;中央领导:政治;中央领导:政治;中央领导:政治;中央领导:政治;中央领导:政治;中央领导:政治;习中央:政治;中央领导:政治
188,拒绝,政府:政治
189,通过,NA
190,通过,NA
191,拒绝,政治:政治
192,通过,NA
193,通过,NA
194,拒绝,政府:政治;政府:政治
195,通过,NA
196,拒绝,党委书记:政治
197,通过,NA
198,拒绝,专制:政治;专制:政治;政治:政治;政治体制:政治;政治:政治;民主:政治;愚民政策:政治;愚民政策:政治;愚民政策:政治;专制:政治;愚民政策:政治;政治:政治
199,通过,NA
200,通过,NA
201,通过,NA
202,通过,NA
203,拒绝,政治:政治;中国共产党:政治;共产党:政治;共产主义:政治;蒋介石:政治;政府:政治;中国共产党:政治;中国共产党:政治;中国共产党:政治;中国梦:政治
204,拒绝,性:色情;新疆国:政治
205,拒绝,政府:政治;台完:政治
206,通过,NA
207,拒绝,公安机关:政治;派出所:政治
208,通过,NA
209,拒绝,政治:政治;政治体制:政治
210,通过,NA
211,拒绝,真相:政治
212,拒绝,政府:政治
213,拒绝,预备党员:政治;党员意识:政治;预备党员:政治
214,拒绝,社会舆论:政治
215,拒绝,政府:政治
216,通过,NA
217,通过,NA
218,拒绝,政治:政治;政治:政治;政府:政治;政治:政治
219,拒绝,政府:政治;政府:政治
220,通过,NA
221,通过,NA
222,拒绝,公安:政治;法院:政治;公安机关:政治
223,通过,NA
224,拒绝,中华人民共和国:政治
225,拒绝,vpn:暴恐违禁
226,通过,NA
227,拒绝,政府:政治;政府:政治
228,拒绝,政府:政治
229,拒绝,毛泽东:政治;周恩来:政治;政治:政治;中国共产党:政治;中国梦:政治
230,通过,NA
231,通过,NA
232,拒绝,政府:政治
233,拒绝,政府:政治
234,通过,NA
235,拒绝,乳头:色情
236,通过,NA
237,拒绝,地方政府:政治;地方政府:政治
238,通过,NA
239,拒绝,性:色情;政治:政治
240,拒绝,政治家:政治;专制:政治;专制:政治;政治体制:政治;民主:政治;政治:政治;民主:政治;愚民政策:政治;愚民政策:政治;愚民政策:政治;中国民主:政治;鸦片:暴恐违禁;民主:政治
241,通过,NA
242,拒绝,中出:色情
243,拒绝,算命:不良价值观;自杀:不良价值观;风水:不良价值观
244,通过,NA
245,拒绝,民主:政治;民主思想:政治;政治:政治;民主革命:政治;抗议:政治;抗议:政治;政府:政治;重大事件:政治;民主:政治;民主:政治;贪官:政治;性事:色情
246,拒绝,婚外情:不良价值观;通奸:色情;性侵:色情
247,拒绝,国家统计局:政治
248,拒绝,性战:色情
249,拒绝,为自由:政治
250,拒绝,政治:政治
251,拒绝,政治:政治
252,拒绝,民主:政治;民主:政治
253,通过,NA
254,通过,NA
255,拒绝,外蒙:政治
256,拒绝,政治家:政治;腐败:政治;专制:政治;愚民政策:政治;贪污腐败:政治;政治:政治;鸦片:暴恐违禁
257,通过,NA
258,拒绝,共产党员:政治;政治:政治;政治:政治;党员干部:政治;共产党员:政治;中国特色:政治;社会主义:政治;习党:政治
259,拒绝,新华社:政治
260,通过,NA
261,通过,NA
262,通过,NA
263,通过,NA
264,通过,NA
265,拒绝,共产党:政治;共产党:政治;政治:政治;中国共产党:政治;国民党:政治;政治:政治;中国共产党:政治;政治:政治;独立运动:政治;政府:政治;政府:政治;政府:政治
266,通过,NA
267,拒绝,中国政府:政治;天津市政府:政治
268,拒绝,政府:政治;政府:政治
269,通过,NA
270,通过,NA
271,通过,NA
272,拒绝,集中营:政治;中国共产党:政治;集中营:政治;蒋介石:政治;国民党:政治;共产党员:政治
273,拒绝,主席:政治;政府:政治;主席:政治;政府:政治
274,拒绝,政府:政治;政府:政治;政府:政治
275,拒绝,政府:政治;政府:政治;政府:政治;政府:政治
276,拒绝,中华人民共和国:政治;中华人民共和国:政治;通奸:色情
277,拒绝,毛泽东:政治;周恩来:政治;领导人:政治;中国共产党:政治;党员:政治;中国共产党:政治;政治:政治;共产党:政治;共产党:政治;政治:政治
278,拒绝,党章:政治;中国特色:政治;社会主义:政治;中国共产党:政治;中国特色:政治;社会主义:政治;党员:政治;党中央:政治;非党员:政治;中国共产党:政治;党员:政治;党员:政治;党员:政治;中国特色:政治;社会主义:政治;腐败:政治
279,通过,NA
280,通过,NA
281,拒绝,教育部:政治;政府:政治
282,通过,NA
283,通过,NA
284,拒绝,政府:政治
285,通过,NA
286,通过,NA
287,拒绝,政府:政治
288,通过,NA
289,通过,NA
290,拒绝,政府:政治;性:色情
291,拒绝,当地政府:政治;政府:政治
292,通过,NA
293,通过,NA
294,拒绝,市政府:政治;市政府:政治
295,拒绝,政府:政治;政府:政治
296,拒绝,恐怖主义:政治
297,拒绝,仿真枪:暴恐违禁
298,拒绝,婚外情:不良价值观
299,拒绝,镇政府:政治;镇政府:政治;政府:政治
300,通过,NA
301,拒绝,政府:政治
302,拒绝,政治:政治
303,拒绝,杭州市政府:政治
304,通过,NA
305,通过,NA
306,拒绝,监管局:政治;监管局:政治;监管局:政治;监管局:政治;监管局:政治;监管局:政治;监管局:政治
307,拒绝,法院:政治;建设部:政治
308,通过,NA
309,拒绝,政治:政治;政府:政治;政治:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;普选:政治;政府:政治;政治:政治;政治:政治;政府:政治
310,通过,NA
311,拒绝,公务员:政治;公务员:政治;公务员:政治
312,拒绝,政治:政治;政治:政治;政治:政治;政治:政治
313,拒绝,政府:政治
314,通过,NA
315,通过,NA
316,通过,NA
317,通过,NA
318,通过,NA
319,通过,NA
320,通过,NA
321,拒绝,政府:政治
322,通过,NA
323,通过,NA
324,通过,NA
325,通过,NA
326,通过,NA
327,拒绝,国家统计局:政治;国家统计局:政治;中国政府:政治
328,拒绝,中国共产党:政治;人类命运共同体:政治
329,通过,NA
330,拒绝,当地政府:政治;维吾尔:政治
331,拒绝,政府:政治
332,拒绝,政府:政治
333,通过,NA
334,拒绝,精子:色情;毒品:暴恐违禁;手淫:色情;手淫:色情;手淫:色情;生殖器:色情
335,通过,NA
336,拒绝,党员:政治;党中央:政治;党员干部:政治;党员干部:政治;腐败:政治;广大党员:政治;党员干部:政治;党中央:政治;中国梦:政治;反腐:政治
337,拒绝,政府:政治;政府:政治;政府:政治;政府:政治;政府:政治
338,拒绝,政府:政治;政府:政治
339,通过,NA
340,拒绝,政治:政治;民主:政治;政治:政治;陈独秀:政治
341,拒绝,政府:政治
342,拒绝,国务院:政治
343,通过,NA
344,拒绝,中国政府:政治
345,拒绝,政治:政治;政治:政治
346,拒绝,维权:政治
347,拒绝,当地政府:政治
348,拒绝,习近平:政治;总书记:政治
349,通过,NA
350,拒绝,国家统计局:政治
351,通过,NA
352,拒绝,十九大:政治;中国特色:政治;中国特色:政治;社会主义:政治;中国特色:政治;社会主义:政治;中国特色:政治;社会主义:政治
353,拒绝,总理:政治;舆论:政治
354,通过,NA
355,拒绝,党员:政治;党员:政治;党员:政治;政治:政治;党员:政治;党员:政治;政治:政治;党员:政治;党员素质:政治
356,通过,NA
357,拒绝,黄色:色情;政府:政治;高潮:色情
358,拒绝,二十大:政治;社会主义:政治;二十大:政治;习近平:政治;总书记:政治;二十大:政治;中国梦:政治;习党:政治;习党:政治;习党:政治
359,拒绝,中央集权:政治;徐向前:政治;中国人民解放军:政治;国民党:政治;反动:政治
360,拒绝,政府:政治;政府:政治
361,通过,NA
362,拒绝,毛泽东:政治;毛泽东:政治;中国共产党:政治
363,拒绝,政协:政治;常委:政治;副主席:政治;秘书长:政治;主席:政治;主席:政治;政协:政治;主席:政治;主席:政治
364,拒绝,党员干部:政治;党员干部:政治;政府:政治
365,通过,NA
366,通过,NA
367,通过,NA
368,拒绝,政府:政治
369,拒绝,政府:政治
370,拒绝,政府:政治
371,通过,NA
372,拒绝,政府:政治;政府:政治;政府:政治;性:色情;政府:政治;政府:政治;政府:政治
373,拒绝,国家统计局:政治
374,拒绝,政府:政治
375,通过,NA
376,拒绝,宪政:政治;宪政:政治;宪政:政治;宪政:政治;宪政:政治;政府:政治;政府职能:政治;民主:政治;民主:政治
377,通过,NA
378,通过,NA
379,拒绝,阳痿:色情;早泄:色情;遗精:色情;月经不调:色情
380,通过,NA
381,通过,NA
382,拒绝,自杀:不良价值观;自杀:不良价值观;自杀:不良价值观;自杀:不良价值观
383,通过,NA
384,拒绝,自杀:不良价值观
385,拒绝,罢工:政治;政府:政治
386,拒绝,中出:色情
387,拒绝,g产:政治;g产:政治;g产:政治;g产:政治;g产:政治;g产:政治;g产:政治;政府:政治;g产:政治
388,通过,NA
389,拒绝,党员:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员:政治;习共:政治
390,拒绝,民主:政治;政府:政治;政府:政治
391,通过,NA
392,通过,NA
393,通过,NA
394,拒绝,法院:政治;滞纳:政治;滞纳:政治;滞纳:政治
395,拒绝,性:色情;性学:色情
396,拒绝,法院:政治;法院:政治
397,拒绝,党员队伍:政治;党员:政治;党员:政治
398,拒绝,党员:政治;习近平:政治
399,拒绝,社会主义:政治
400,拒绝,中华人民共和国:政治;中华人民共和国:政治;中华人民共和国:政治
401,通过,NA
402,通过,NA
403,通过,NA
404,拒绝,中国政府:政治;政治:政治;性具:色情
405,拒绝,公安:政治;公安机关:政治;公安机关:政治;性:色情;公安:政治;公安机关:政治
406,通过,NA
407,拒绝,反人类罪:政治;被日:色情
408,拒绝,中国人民解放军:政治
409,拒绝,两个中国:政治;共产党:政治;政治:政治;统战:政治;中华人民共和国:政治;文化大革命:政治
410,拒绝,政府:政治;政府:政治
411,拒绝,政治:政治
412,通过,NA
413,通过,NA
414,拒绝,算命:不良价值观;自杀:不良价值观;风水:不良价值观
415,通过,NA
416,拒绝,新疆|独立:政治;新疆国:政治
417,通过,NA
418,拒绝,中共中央:政治;中央组织部:政治;形式主义:政治;政治:政治;形式主义:政治;党员队伍:政治;反腐:政治;反腐:政治
419,通过,NA
420,拒绝,政府:政治
421,拒绝,国家统计局:政治
422,拒绝,政府:政治
423,通过,NA
424,通过,NA
425,通过,NA
426,通过,NA
427,通过,NA
428,通过,NA
429,通过,NA
430,通过,NA
431,通过,NA
432,拒绝,上床:色情
433,通过,NA
434,通过,NA
435,通过,NA
436,拒绝,政治:政治
437,拒绝,书记:政治
438,拒绝,党员:政治;非党员:政治;党员:政治;党员:政治;党员:政治;党员:政治
439,拒绝,vpn:暴恐违禁
440,拒绝,市政府:政治;习总:政治
441,通过,NA
442,拒绝,政府:政治
443,拒绝,政府:政治;政府:政治;政府:政治;政府:政治;政府:政治
444,拒绝,党员素质:政治;政治:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员队伍:政治;党员素质:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员:政治;政治:政治;党员:政治;党员:政治;政治:政治;中国特色:政治;社会主义:政治;党员:政治;社会主义:政治;党员:政治
445,拒绝,政府:政治
446,拒绝,婚外情:不良价值观;婚外情:不良价值观
447,拒绝,政治:政治
448,拒绝,习近平:政治;总书记:政治
449,通过,NA
450,拒绝,领事馆:政治
451,拒绝,国家统计局:政治;国家统计局:政治
452,通过,NA
453,拒绝,政治:政治;政治:政治;政治:政治;性城:色情
454,拒绝,社会主义:政治;中国梦:政治
455,通过,NA
456,拒绝,党和政府:政治;维权:政治
457,通过,NA
458,通过,NA
459,通过,NA
460,通过,NA
461,通过,NA
462,拒绝,政府:政治
463,通过,NA
464,拒绝,政治:政治;多妻:色情;多妻:色情
465,拒绝,二十大:政治;党员干部:政治;社会主义:政治;二十大:政治;十九大:政治;习近平:政治;中国特色:政治;社会主义:政治;二十大:政治;政治:政治;政治:政治;广大党员:政治;领导干部:政治;党员干部:政治;党员干部:政治
466,拒绝,中国共产党:政治;中国共产党:政治;中国共产党:政治;中国共产党:政治;共产主义:政治;中国共产党:政治;中国共产党:政治;社会主义:政治;中国梦:政治;领导人:政治
467,拒绝,中华人民共和国教育部:政治
468,通过,NA
469,通过,NA
470,拒绝,当地政府:政治;当地政府:政治;当地政府:政治
471,通过,NA
472,拒绝,政府:政治;国家税务总局:政治;财政部:政治;政府:政治;习参加:政治
473,拒绝,广大党员:政治;政治:政治;党员干部:政治;党员干部:政治;性:色情;政治:政治;政府:政治;习平:政治;高干:政治;共党:政治
474,通过,NA
475,拒绝,政府:政治
476,通过,NA
477,拒绝,政府:政治;政府:政治;政府:政治
478,通过,NA
479,拒绝,肉优:色情
480,通过,NA
481,拒绝,二十大:政治
482,通过,NA
483,拒绝,二十大:政治;中国国情:政治;习近平:政治;总书记:政治;二十大:政治;习党:政治;习党:政治
484,通过,NA
485,拒绝,政治:政治;性:色情
486,通过,NA
487,拒绝,政府:政治;政府:政治
488,通过,NA
489,拒绝,法院:政治
490,拒绝,警察局:政治;舆论:政治
491,拒绝,政府:政治
492,拒绝,政府:政治
493,通过,NA
494,通过,NA
495,通过,NA
496,拒绝,中国梦:政治;含着:色情;含着:色情
497,拒绝,政府:政治
498,通过,NA
499,拒绝,政府:政治;政府:政治;政府:政治;性:色情;政府:政治
500,拒绝,罢工:政治;罢工:政治;罢工:政治;罢工:政治;罢工:政治;罢工:政治;政治:政治;罢工:政治;罢工:政治;政府:政治
501,拒绝,暴力手段:政治
502,通过,NA
503,拒绝,精液:色情;阴道:色情;乳汁:色情;艾滋病:色情;艾滋病:色情;艾滋病:色情;艾滋病:色情
504,拒绝,政府:政治
505,拒绝,政府:政治
506,通过,NA
507,拒绝,性:色情
508,拒绝,市政府:政治
509,拒绝,国家统计局:政治
510,通过,NA
511,拒绝,民主人士:政治
512,拒绝,习近平:政治;总书记:政治;二十大:政治
513,通过,NA
514,拒绝,党员干部:政治
515,通过,NA
516,拒绝,政府:政治
517,拒绝,政府:政治;政府:政治;政府:政治
518,拒绝,法院:政治
519,通过,NA
520,通过,NA
521,拒绝,二十大:政治;二十大:政治;二十大:政治;二十大:政治;二十大:政治;习党:政治;习党:政治;习党:政治;习党:政治;习党:政治
522,拒绝,二十大:政治;习党:政治
523,拒绝,市政府:政治
524,拒绝,政府:政治;政府:政治
525,通过,NA
526,通过,NA
527,通过,NA
528,拒绝,地方政府:政治;政府:政治;地方政府:政治;地方政府:政治;地方政府:政治;地方政府:政治;地方政府:政治;中国政府:政治;地方政府:政治;地方政府:政治;地方政府:政治;地方政府:政治;地方政府:政治
529,拒绝,监管局:政治;监管局:政治;监管局:政治;监管局:政治;监管局:政治;公安:政治;监管局:政治;法院:政治;监管局:政治
530,拒绝,监管局:政治;监管局:政治;监管局:政治;监管局:政治;监管局:政治
531,拒绝,中华人民共和国:政治;中华人民共和国:政治;中华人民共和国:政治;社会主义:政治;人民警察:政治;人民法院:政治;公安机关:政治
532,通过,NA
533,拒绝,人民政府:政治
534,通过,NA
535,通过,NA
536,拒绝,政府:政治
537,拒绝,罢工:政治;公务员:政治;抗议:政治;罢工:政治;罢工:政治;政府:政治;罢工:政治;抗议:政治;罢工:政治;政府:政治;罢工:政治;政府:政治;罢工:政治;公务员:政治;政府:政治;政府:政治
538,通过,NA
539,拒绝,政府:政治;政府:政治;政府:政治;地方政府:政治
540,通过,NA
541,拒绝,口交:色情
542,拒绝,政府:政治;政府:政治;政府:政治
543,拒绝,党中央:政治
544,拒绝,政治:政治
545,拒绝,社会主义:政治
546,通过,NA
547,拒绝,罢工:政治;政府:政治
548,拒绝,性:色情
549,拒绝,二十大:政治;政治:政治;二十大:政治;广大党员:政治;二十大:政治;党员干部:政治;二十大:政治;广大党员:政治
550,拒绝,二十大:政治;政治:政治;习近平:政治;中国特色:政治;社会主义:政治;共产党员:政治;二十大:政治;政治信仰:政治;政治素质:政治;习党:政治
551,拒绝,中国梦:政治
552,拒绝,全国政协:政治;人大代表:政治
553,拒绝,二十大:政治;二十大:政治
554,拒绝,中华人民共和国:政治
555,拒绝,政治:政治;中国政府:政治
556,拒绝,政府:政治
557,拒绝,党员:政治;党员:政治;政治:政治;党员:政治;党员:政治;性:色情;党员:政治;政治:政治;领导人:政治
558,拒绝,性:色情;g产:政治
559,通过,NA
560,通过,NA
561,通过,NA
562,拒绝,公安机关:政治;公安部:政治
563,拒绝,副书记:政治;地方政府:政治;副书记:政治;处级干部:政治;当地政府:政治
564,通过,NA
565,拒绝,法院院长:政治;党委书记:政治;党员:政治;党员:政治;党员干部:政治;中国共产党:政治;党员干部:政治;性:色情
566,通过,NA
567,通过,NA
568,通过,NA
569,拒绝,维权:政治
570,拒绝,做爱:色情
571,拒绝,习近平:政治
572,拒绝,政治:政治
573,通过,NA
574,通过,NA
575,拒绝,政府:政治
576,拒绝,政治:政治;政治:政治;政治:政治;政治常识:政治;政治:政治;政治:政治;政治:政治;政治:政治;政治:政治;政治:政治;政治:政治;政治:政治;政治:政治;政治:政治
577,通过,NA
578,通过,NA
579,拒绝,教育部:政治
580,拒绝,教育部:政治;教育部:政治;性学:色情
581,拒绝,中华人民共和国:政治;行房:色情
582,拒绝,二十大:政治;习大大:政治
583,通过,NA
584,通过,NA
585,拒绝,二十大:政治;中国共产党:政治;共产党员:政治;政治:政治;中国特色:政治;社会主义:政治;二十大:政治
586,拒绝,政治:政治
587,拒绝,中国政府:政治;中国政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;中国政府:政治
588,拒绝,社会主义:政治;中国梦:政治
589,拒绝,中国共产党:政治;共产党:政治
590,拒绝,政协:政治;常委:政治;副主席:政治;秘书长:政治;副主席:政治;主席:政治;主席:政治;社会主义:政治;人民政府:政治;主席:政治;主席:政治;政协:政治;主席:政治;主席:政治;政府:政治
591,拒绝,文化大革命:政治;学运:政治
592,拒绝,社会主义:政治;性:色情;性:色情
593,通过,NA
594,拒绝,政府:政治
595,拒绝,政府:政治
596,通过,NA
597,拒绝,政府:政治;政府:政治
598,通过,NA
599,通过,NA
600,拒绝,政府:政治
601,通过,NA
602,通过,NA
603,拒绝,政治:政治;政治:政治;政治体制:政治
604,通过,NA
605,拒绝,政治:政治;政治:政治;中共:政治;政治势力:政治;中华人民共和国:政治;政治:政治;中华人民共和国:政治
606,通过,NA
607,拒绝,毛主席:政治
608,通过,NA
609,拒绝,政治:政治;政治:政治
610,通过,NA
611,拒绝,政府:政治
612,拒绝,做爱:色情
613,通过,NA
614,通过,NA
615,拒绝,中出:色情
616,通过,NA
617,拒绝,政府:政治;性网:色情
618,通过,NA
619,拒绝,政协:政治;常委:政治;副主席:政治;秘书长:政治;主席:政治;主席:政治;政协:政治;主席:政治;主席:政治
620,拒绝,政府:政治
621,拒绝,3p:色情
622,通过,NA
623,通过,NA
624,拒绝,公安机关:政治;公安:政治;公安:政治;公安机关:政治;公安机关:政治;公安机关:政治;公安机关:政治;公安机关:政治;公安:政治;公安机关:政治;公安机关:政治;公安:政治;公安:政治;政府:政治
625,拒绝,政府:政治
626,拒绝,政府:政治
627,通过,NA
628,拒绝,地缘政治:政治
629,拒绝,性网:色情
630,通过,NA
631,通过,NA
632,通过,NA
633,通过,NA
634,通过,NA
635,拒绝,政府:政治;教育部:政治
636,通过,NA
637,拒绝,公安局:政治;交警大队:政治;交警:暴恐违禁;公安机关:政治;警察:暴恐违禁;警察:暴恐违禁;交警:暴恐违禁
