文本内容,识别结果,风险原因
105,通过,NA
106,通过,NA
107,通过,NA
108,通过,NA
109,通过,NA
110,通过,NA
111,通过,NA
112,拒绝,存在政治敏感不合规
113,通过,NA
114,拒绝,存在政治敏感不合规
115,拒绝,存在暴恐违禁不合规;存在恶意推广不合规
116,通过,NA
117,通过,NA
118,拒绝,疑似存在政治敏感不合规
119,通过,NA
120,通过,NA
121,拒绝,存在恶意推广不合规
122,通过,NA
123,通过,NA
124,通过,NA
125,通过,NA
126,拒绝,存在政治敏感不合规
127,通过,NA
128,通过,NA
129,通过,NA
130,通过,NA
131,通过,NA
132,通过,NA
133,拒绝,存在政治敏感不合规
134,通过,NA
135,通过,NA
136,通过,NA
137,通过,NA
138,通过,NA
139,通过,NA
140,通过,NA
141,通过,NA
142,通过,NA
143,通过,NA
144,通过,NA
145,通过,NA
146,通过,NA
147,通过,NA
148,通过,NA
149,拒绝,存在政治敏感不合规
150,拒绝,存在政治敏感不合规
151,通过,NA
152,通过,NA
153,拒绝,存在政治敏感不合规
154,通过,NA
155,通过,NA
156,通过,NA
157,通过,NA
158,通过,NA
159,通过,NA
160,拒绝,存在政治敏感不合规
161,通过,NA
162,通过,NA
163,通过,NA
164,通过,NA
165,通过,NA
166,通过,NA
167,拒绝,存在恶意推广不合规
168,通过,NA
169,拒绝,存在政治敏感不合规
170,通过,NA
171,拒绝,疑似存在政治敏感不合规
172,拒绝,疑似存在政治敏感不合规
173,通过,NA
174,通过,NA
175,拒绝,存在恶意推广不合规
176,拒绝,存在政治敏感不合规
177,通过,NA
178,通过,NA
179,通过,NA
180,通过,NA
181,拒绝,存在政治敏感不合规
182,通过,NA
183,拒绝,存在恶意推广不合规
184,通过,NA
185,通过,NA
186,拒绝,存在政治敏感不合规
187,拒绝,疑似存在政治敏感不合规
188,通过,NA
189,拒绝,存在百度官方默认违禁词库不合规
190,通过,NA
191,通过,NA
192,通过,NA
193,通过,NA
194,拒绝,疑似存在政治敏感不合规
195,通过,NA
196,通过,NA
197,通过,NA
198,拒绝,存在政治敏感不合规
199,通过,NA
200,通过,NA
201,通过,NA
202,通过,NA
203,拒绝,存在政治敏感不合规
204,通过,NA
205,通过,NA
206,通过,NA
207,通过,NA
208,通过,NA
209,通过,NA
210,拒绝,存在文本色情不合规
211,通过,NA
212,通过,NA
213,拒绝,疑似存在政治敏感不合规
214,通过,NA
215,通过,NA
216,通过,NA
217,通过,NA
218,通过,NA
219,通过,NA
220,通过,NA
221,通过,NA
222,通过,NA
223,通过,NA
224,通过,NA
225,通过,NA
226,通过,NA
227,通过,NA
228,通过,NA
229,拒绝,存在政治敏感不合规
230,通过,NA
231,拒绝,存在恶意推广不合规
232,通过,NA
233,拒绝,存在恶意推广不合规
234,通过,NA
235,通过,NA
236,通过,NA
237,通过,NA
238,通过,NA
239,通过,NA
240,拒绝,存在政治敏感不合规
241,通过,NA
242,通过,NA
243,通过,NA
244,通过,NA
245,拒绝,存在政治敏感不合规
246,通过,NA
247,通过,NA
248,拒绝,疑似存在政治敏感不合规
249,通过,NA
250,通过,NA
251,通过,NA
252,拒绝,疑似存在政治敏感不合规
253,通过,NA
254,通过,NA
255,通过,NA
256,拒绝,存在政治敏感不合规
257,通过,NA
258,拒绝,存在政治敏感不合规
259,通过,NA
260,通过,NA
261,拒绝,存在暴恐违禁不合规
262,通过,NA
263,通过,NA
264,通过,NA
265,拒绝,存在政治敏感不合规
266,通过,NA
267,通过,NA
268,通过,NA
269,通过,NA
270,通过,NA
271,通过,NA
272,拒绝,存在政治敏感不合规
273,通过,NA
274,通过,NA
275,通过,NA
276,拒绝,存在文本色情不合规
277,拒绝,存在政治敏感不合规
278,拒绝,存在政治敏感不合规
279,通过,NA
280,通过,NA
281,通过,NA
282,通过,NA
283,通过,NA
284,通过,NA
285,通过,NA
286,通过,NA
287,通过,NA
288,通过,NA
289,拒绝,存在恶意推广不合规
290,通过,NA
291,通过,NA
292,通过,NA
293,通过,NA
294,拒绝,存在恶意推广不合规
295,通过,NA
296,通过,NA
297,通过,NA
298,通过,NA
299,拒绝,存在恶意推广不合规
300,通过,NA
301,通过,NA
302,通过,NA
303,通过,NA
304,通过,NA
305,通过,NA
306,通过,NA
307,通过,NA
308,通过,NA
309,通过,NA
310,通过,NA
311,通过,NA
312,拒绝,疑似存在政治敏感不合规
313,通过,NA
314,通过,NA
315,通过,NA
316,通过,NA
317,通过,NA
318,通过,NA
319,通过,NA
320,拒绝,存在恶意推广不合规
321,通过,NA
322,通过,NA
323,通过,NA
324,通过,NA
325,通过,NA
326,通过,NA
327,通过,NA
328,拒绝,存在政治敏感不合规
329,通过,NA
330,通过,NA
331,通过,NA
332,拒绝,存在恶意推广不合规
333,通过,NA
334,通过,NA
335,通过,NA
336,拒绝,存在政治敏感不合规
337,通过,NA
338,拒绝,疑似存在政治敏感不合规
339,通过,NA
340,拒绝,存在政治敏感不合规
341,通过,NA
342,拒绝,存在政治敏感不合规
343,通过,NA
344,通过,NA
345,通过,NA
346,拒绝,存在恶意推广不合规
347,通过,NA
348,拒绝,存在政治敏感不合规
349,通过,NA
350,通过,NA
351,通过,NA
352,拒绝,存在政治敏感不合规
353,通过,NA
354,通过,NA
355,通过,NA
356,通过,NA
357,通过,NA
358,拒绝,存在政治敏感不合规
359,拒绝,存在政治敏感不合规
360,通过,NA
361,通过,NA
362,拒绝,存在政治敏感不合规
363,通过,NA
364,拒绝,疑似存在政治敏感不合规
365,通过,NA
366,通过,NA
367,通过,NA
368,通过,NA
369,通过,NA
370,通过,NA
371,通过,NA
372,通过,NA
373,通过,NA
374,通过,NA
375,通过,NA
376,通过,NA
377,通过,NA
378,通过,NA
379,通过,NA
380,通过,NA
381,通过,NA
382,通过,NA
383,通过,NA
384,拒绝,存在暴恐违禁不合规
385,通过,NA
386,通过,NA
387,通过,NA
388,通过,NA
389,拒绝,疑似存在政治敏感不合规
390,通过,NA
391,通过,NA
392,通过,NA
393,通过,NA
394,通过,NA
395,通过,NA
396,通过,NA
397,拒绝,疑似存在政治敏感不合规
398,拒绝,存在政治敏感不合规
399,通过,NA
400,通过,NA
401,通过,NA
402,通过,NA
403,通过,NA
404,通过,NA
405,通过,NA
406,通过,NA
407,拒绝,存在政治敏感不合规
408,拒绝,存在政治敏感不合规
409,拒绝,存在政治敏感不合规
410,通过,NA
411,通过,NA
412,通过,NA
413,通过,NA
414,通过,NA
415,通过,NA
416,通过,NA
417,通过,NA
418,拒绝,存在政治敏感不合规
419,通过,NA
420,通过,NA
421,通过,NA
422,通过,NA
423,通过,NA
424,通过,NA
425,通过,NA
426,通过,NA
427,通过,NA
428,通过,NA
429,通过,NA
430,拒绝,疑似存在政治敏感不合规
431,通过,NA
432,拒绝,存在文本色情不合规
433,通过,NA
434,通过,NA
435,通过,NA
436,通过,NA
437,拒绝,疑似存在政治敏感不合规
438,通过,NA
439,通过,NA
440,通过,NA
441,通过,NA
442,通过,NA
443,通过,NA
444,拒绝,疑似存在政治敏感不合规
445,通过,NA
446,通过,NA
447,通过,NA
448,拒绝,存在政治敏感不合规
449,通过,NA
450,通过,NA
451,拒绝,疑似存在政治敏感不合规
452,通过,NA
453,通过,NA
454,拒绝,存在政治敏感不合规
455,通过,NA
456,通过,NA
457,通过,NA
458,通过,NA
459,通过,NA
460,通过,NA
461,通过,NA
462,通过,NA
463,通过,NA
464,通过,NA
465,拒绝,存在政治敏感不合规
466,拒绝,存在政治敏感不合规
467,通过,NA
468,通过,NA
469,通过,NA
470,通过,NA
471,通过,NA
472,通过,NA
473,拒绝,存在恶意推广不合规
474,通过,NA
475,通过,NA
476,通过,NA
477,通过,NA
478,通过,NA
479,通过,NA
480,通过,NA
481,通过,NA
482,通过,NA
483,拒绝,存在政治敏感不合规
484,通过,NA
485,拒绝,存在政治敏感不合规
486,通过,NA
487,拒绝,疑似存在政治敏感不合规
488,通过,NA
489,通过,NA
490,通过,NA
491,通过,NA
492,通过,NA
493,通过,NA
494,通过,NA
495,拒绝,存在恶意推广不合规
496,拒绝,存在政治敏感不合规
497,通过,NA
498,通过,NA
499,通过,NA
500,通过,NA
501,通过,NA
502,通过,NA
503,通过,NA
504,通过,NA
505,通过,NA
506,通过,NA
507,通过,NA
508,通过,NA
509,通过,NA
510,通过,NA
511,通过,NA
512,拒绝,存在政治敏感不合规
513,通过,NA
514,通过,NA
515,通过,NA
516,通过,NA
517,通过,NA
518,通过,NA
519,通过,NA
520,通过,NA
521,拒绝,存在政治敏感不合规
522,拒绝,存在政治敏感不合规
523,通过,NA
524,通过,NA
525,通过,NA
526,通过,NA
527,通过,NA
528,通过,NA
529,通过,NA
530,通过,NA
531,通过,NA
532,通过,NA
533,通过,NA
534,通过,NA
535,通过,NA
536,通过,NA
537,拒绝,疑似存在政治敏感不合规
538,通过,NA
539,通过,NA
540,通过,NA
541,拒绝,存在文本色情不合规
542,通过,NA
543,拒绝,存在政治敏感不合规
544,通过,NA
545,拒绝,存在政治敏感不合规
546,通过,NA
547,通过,NA
548,拒绝,存在恶意推广不合规
549,拒绝,存在政治敏感不合规
550,拒绝,存在政治敏感不合规
551,拒绝,存在政治敏感不合规
552,通过,NA
553,拒绝,存在政治敏感不合规
554,通过,NA
555,通过,NA
556,通过,NA
557,拒绝,疑似存在政治敏感不合规
558,通过,NA
559,通过,NA
560,通过,NA
561,通过,NA
562,通过,NA
563,通过,NA
564,通过,NA
565,拒绝,存在政治敏感不合规
566,通过,NA
567,通过,NA
568,通过,NA
569,通过,NA
570,拒绝,存在文本色情不合规
571,拒绝,存在政治敏感不合规
572,通过,NA
573,通过,NA
574,通过,NA
575,通过,NA
576,通过,NA
577,通过,NA
578,通过,NA
579,通过,NA
580,通过,NA
581,通过,NA
582,拒绝,存在政治敏感不合规
583,通过,NA
584,通过,NA
585,拒绝,存在政治敏感不合规
586,拒绝,疑似存在政治敏感不合规
587,通过,NA
588,拒绝,存在政治敏感不合规
589,拒绝,存在政治敏感不合规
590,通过,NA
591,拒绝,存在政治敏感不合规
592,通过,NA
593,通过,NA
594,通过,NA
595,通过,NA
596,拒绝,存在恶意推广不合规
597,通过,NA
598,通过,NA
599,通过,NA
600,通过,NA
601,通过,NA
602,通过,NA
603,拒绝,存在政治敏感不合规
604,通过,NA
605,拒绝,存在政治敏感不合规
606,通过,NA
607,拒绝,存在政治敏感不合规
608,通过,NA
609,通过,NA
610,拒绝,存在恶意推广不合规
611,通过,NA
612,拒绝,存在文本色情不合规
613,拒绝,存在恶意推广不合规
614,通过,NA
615,通过,NA
616,拒绝,疑似存在政治敏感不合规
617,通过,NA
618,通过,NA
619,通过,NA
620,通过,NA
621,拒绝,存在文本色情不合规
622,通过,NA
623,通过,NA
624,通过,NA
625,通过,NA
626,拒绝,存在恶意推广不合规
627,通过,NA
628,拒绝,存在政治敏感不合规
629,通过,NA
630,通过,NA
631,通过,NA
632,通过,NA
633,通过,NA
634,通过,NA
635,通过,NA
636,通过,NA
637,通过,NA
638,拒绝,存在政治敏感不合规
639,通过,NA
640,通过,NA
641,通过,NA
642,通过,NA
643,拒绝,存在政治敏感不合规
644,拒绝,疑似存在政治敏感不合规
645,通过,NA
646,通过,NA
647,拒绝,存在政治敏感不合规
648,通过,NA
649,拒绝,存在恶意推广不合规
650,通过,NA
651,通过,NA
652,通过,NA
653,通过,NA
654,拒绝,存在暴恐违禁不合规
655,通过,NA
656,通过,NA
657,通过,NA
658,通过,NA
659,通过,NA
660,通过,NA
661,通过,NA
662,通过,NA
663,拒绝,存在恶意推广不合规
664,通过,NA
665,通过,NA
666,通过,NA
667,通过,NA
668,通过,NA
669,拒绝,存在政治敏感不合规
670,通过,NA
671,拒绝,存在政治敏感不合规
672,通过,NA
673,通过,NA
674,通过,NA
675,通过,NA
676,拒绝,疑似存在政治敏感不合规
677,通过,NA
678,通过,NA
679,拒绝,存在政治敏感不合规
680,通过,NA
681,拒绝,存在恶意推广不合规
682,通过,NA
683,通过,NA
684,通过,NA
685,通过,NA
686,通过,NA
687,通过,NA
688,拒绝,存在政治敏感不合规
689,拒绝,存在政治敏感不合规
690,通过,NA
691,拒绝,存在政治敏感不合规
692,通过,NA
693,通过,NA
694,通过,NA
695,通过,NA
696,通过,NA
697,通过,NA
698,通过,NA
699,通过,NA
700,拒绝,疑似存在政治敏感不合规
701,通过,NA
702,通过,NA
703,通过,NA
704,通过,NA
705,通过,NA
706,通过,NA
707,通过,NA
708,通过,NA
709,通过,NA
710,通过,NA
711,通过,NA
712,通过,NA
713,通过,NA
714,通过,NA
715,拒绝,疑似存在政治敏感不合规
716,通过,NA
717,通过,NA
718,拒绝,存在政治敏感不合规
719,通过,NA
720,通过,NA
721,通过,NA
722,通过,NA
723,通过,NA
724,拒绝,疑似存在政治敏感不合规
725,通过,NA
726,通过,NA
727,通过,NA
728,通过,NA
729,通过,NA
730,通过,NA
731,通过,NA
732,通过,NA
733,通过,NA
734,通过,NA
735,通过,NA
736,拒绝,存在恶意推广不合规
737,拒绝,疑似存在政治敏感不合规
738,通过,NA
739,通过,NA
740,通过,NA
741,通过,NA
742,拒绝,疑似存在政治敏感不合规
743,通过,NA
744,通过,NA
745,通过,NA
746,拒绝,存在政治敏感不合规
747,拒绝,疑似存在政治敏感不合规
748,通过,NA
749,通过,NA
750,通过,NA
751,通过,NA
752,拒绝,存在政治敏感不合规
753,通过,NA
754,通过,NA
755,通过,NA
756,通过,NA
757,通过,NA
758,通过,NA
759,通过,NA
760,通过,NA
761,拒绝,疑似存在政治敏感不合规
762,通过,NA
763,通过,NA
764,拒绝,疑似存在政治敏感不合规
765,通过,NA
766,通过,NA
767,通过,NA
768,拒绝,疑似存在政治敏感不合规
769,拒绝,存在政治敏感不合规
770,通过,NA
771,通过,NA
772,通过,NA
773,通过,NA
774,拒绝,存在文本色情不合规
775,通过,NA
776,通过,NA
777,通过,NA
778,通过,NA
779,通过,NA
780,通过,NA
781,通过,NA
782,通过,NA
783,通过,NA
784,通过,NA
785,通过,NA
786,通过,NA
787,通过,NA
788,通过,NA
789,通过,NA
790,拒绝,存在政治敏感不合规
791,通过,NA
792,通过,NA
793,拒绝,存在百度官方默认违禁词库不合规;存在政治敏感不合规
794,通过,NA
795,通过,NA
796,通过,NA
797,通过,NA
798,通过,NA
799,拒绝,疑似存在政治敏感不合规
800,拒绝,存在政治敏感不合规
801,通过,NA
802,通过,NA
803,拒绝,存在恶意推广不合规
804,通过,NA
805,拒绝,存在政治敏感不合规
806,通过,NA
807,拒绝,存在政治敏感不合规
808,通过,NA
809,通过,NA
810,通过,NA
811,拒绝,存在政治敏感不合规
812,通过,NA
813,通过,NA
814,通过,NA
815,拒绝,存在恶意推广不合规
816,通过,NA
817,通过,NA
818,通过,NA
819,通过,NA
820,通过,NA
821,通过,NA
822,通过,NA
823,通过,NA
824,通过,NA
825,通过,NA
826,拒绝,存在政治敏感不合规
827,通过,NA
828,通过,NA
829,通过,NA
830,通过,NA
831,通过,NA
832,通过,NA
833,通过,NA
834,通过,NA
835,通过,NA
836,拒绝,疑似存在政治敏感不合规
837,通过,NA
838,通过,NA
839,通过,NA
840,通过,NA
841,拒绝,存在政治敏感不合规
842,通过,NA
843,拒绝,存在政治敏感不合规
844,拒绝,存在政治敏感不合规
845,通过,NA
846,拒绝,存在政治敏感不合规
847,通过,NA
848,通过,NA
849,通过,NA
850,通过,NA
851,通过,NA
852,通过,NA
853,通过,NA
854,拒绝,存在暴恐违禁不合规
855,通过,NA
856,拒绝,存在政治敏感不合规
857,拒绝,存在政治敏感不合规
858,通过,NA
859,通过,NA
860,通过,NA
861,通过,NA
862,通过,NA
863,通过,NA
864,通过,NA
865,通过,NA
866,通过,NA
867,通过,NA
868,拒绝,疑似存在政治敏感不合规
869,通过,NA
870,拒绝,疑似存在政治敏感不合规
871,通过,NA
872,拒绝,存在文本色情不合规
873,通过,NA
874,通过,NA
875,通过,NA
876,拒绝,疑似存在政治敏感不合规
877,通过,NA
878,通过,NA
879,拒绝,疑似存在政治敏感不合规
880,通过,NA
881,通过,NA
882,拒绝,疑似存在政治敏感不合规
883,通过,NA
884,通过,NA
885,通过,NA
886,通过,NA
887,通过,NA
888,通过,NA
889,通过,NA
890,拒绝,存在政治敏感不合规
891,通过,NA
892,通过,NA
893,拒绝,存在政治敏感不合规
894,通过,NA
895,通过,NA
896,通过,NA
897,通过,NA
898,通过,NA
899,通过,NA
900,通过,NA
901,通过,NA
902,通过,NA
903,拒绝,疑似存在政治敏感不合规
904,通过,NA
905,通过,NA
906,通过,NA
907,通过,NA
908,通过,NA
909,拒绝,疑似存在政治敏感不合规
910,拒绝,疑似存在政治敏感不合规
911,通过,NA
912,通过,NA
913,通过,NA
914,通过,NA
915,通过,NA
916,拒绝,疑似存在政治敏感不合规
917,通过,NA
918,通过,NA
919,拒绝,存在恶意推广不合规
920,拒绝,存在恶意推广不合规
921,拒绝,存在恶意推广不合规
922,通过,NA
923,拒绝,存在政治敏感不合规
924,通过,NA
925,拒绝,疑似存在政治敏感不合规
926,通过,NA
927,通过,NA
928,通过,NA
929,通过,NA
930,通过,NA
931,拒绝,存在政治敏感不合规
932,拒绝,存在恶意推广不合规
933,通过,NA
934,通过,NA
935,通过,NA
936,拒绝,存在政治敏感不合规
937,通过,NA
938,通过,NA
939,拒绝,存在恶意推广不合规
940,通过,NA
941,拒绝,存在政治敏感不合规
942,拒绝,疑似存在政治敏感不合规
943,拒绝,存在政治敏感不合规
944,通过,NA
945,拒绝,存在百度官方默认违禁词库不合规;存在政治敏感不合规
946,拒绝,疑似存在政治敏感不合规
947,通过,NA
948,通过,NA
949,通过,NA
950,通过,NA
951,通过,NA
952,通过,NA
953,拒绝,存在政治敏感不合规
954,拒绝,存在政治敏感不合规
955,通过,NA
956,通过,NA
957,通过,NA
958,通过,NA
959,通过,NA
960,通过,NA
961,通过,NA
962,通过,NA
963,通过,NA
964,通过,NA
965,通过,NA
966,通过,NA
967,通过,NA
968,通过,NA
969,通过,NA
970,通过,NA
971,通过,NA
972,拒绝,疑似存在政治敏感不合规
973,通过,NA
974,拒绝,存在政治敏感不合规
975,通过,NA
976,通过,NA
977,拒绝,存在政治敏感不合规
978,通过,NA
979,通过,NA
980,通过,NA
981,通过,NA
982,通过,NA
983,通过,NA
984,通过,NA
985,通过,NA
986,通过,NA
987,拒绝,疑似存在政治敏感不合规
988,通过,NA
989,通过,NA
990,通过,NA
991,通过,NA
992,通过,NA
993,通过,NA
994,通过,NA
995,拒绝,存在政治敏感不合规
996,通过,NA
997,通过,NA
998,拒绝,存在文本色情不合规
999,拒绝,存在政治敏感不合规
1000,通过,NA
1001,通过,NA
1002,通过,NA
1003,拒绝,存在政治敏感不合规
1004,通过,NA
1005,通过,NA
1006,拒绝,存在政治敏感不合规
1007,拒绝,疑似存在政治敏感不合规
1008,通过,NA
1009,通过,NA
1010,通过,NA
1011,通过,NA
1012,通过,NA
1013,通过,NA
1014,拒绝,存在政治敏感不合规
1015,通过,NA
1016,拒绝,存在政治敏感不合规
1017,通过,NA
1018,通过,NA
1019,通过,NA
1020,通过,NA
1021,通过,NA
1022,通过,NA
1023,通过,NA
1024,通过,NA
1025,通过,NA
1026,通过,NA
1027,通过,NA
1028,通过,NA
1029,通过,NA
1030,拒绝,存在政治敏感不合规
1031,通过,NA
1032,拒绝,存在文本色情不合规
1033,通过,NA
1034,通过,NA
1035,拒绝,疑似存在政治敏感不合规
1036,拒绝,存在政治敏感不合规
1037,通过,NA
1038,通过,NA
1039,通过,NA
1040,通过,NA
1041,通过,NA
1042,拒绝,疑似存在政治敏感不合规
1043,通过,NA
1044,拒绝,疑似存在政治敏感不合规
1045,拒绝,存在政治敏感不合规
1046,通过,NA
1047,拒绝,存在政治敏感不合规
1048,拒绝,存在政治敏感不合规
1049,拒绝,疑似存在政治敏感不合规
1050,通过,NA
1051,通过,NA
1052,通过,NA
1053,通过,NA
1054,通过,NA
1055,通过,NA
1056,通过,NA
1057,通过,NA
1058,通过,NA
1059,通过,NA
1060,通过,NA
1061,拒绝,存在政治敏感不合规
1062,通过,NA
1063,通过,NA
1064,通过,NA
1065,通过,NA
1066,通过,NA
1067,拒绝,存在政治敏感不合规
1068,通过,NA
1069,通过,NA
1070,通过,NA
1071,通过,NA
1072,通过,NA
1073,通过,NA
1074,通过,NA
1075,拒绝,疑似存在政治敏感不合规
1076,通过,NA
1077,通过,NA
1078,拒绝,存在政治敏感不合规
1079,通过,NA
1080,通过,NA
1081,通过,NA
1082,通过,NA
1083,通过,NA
1084,拒绝,存在政治敏感不合规
1085,通过,NA
1086,通过,NA
1087,通过,NA
1088,通过,NA
1089,拒绝,疑似存在政治敏感不合规
1090,通过,NA
1091,通过,NA
1092,通过,NA
1093,通过,NA
1094,拒绝,存在政治敏感不合规
1095,拒绝,存在恶意推广不合规
1096,通过,NA
1097,通过,NA
1098,拒绝,存在政治敏感不合规
1099,通过,NA
1100,通过,NA
1101,通过,NA
1102,通过,NA
1103,拒绝,存在政治敏感不合规
1104,通过,NA
1105,通过,NA
1106,通过,NA
1107,通过,NA
1108,通过,NA
1109,通过,NA
1110,通过,NA
1111,通过,NA
1112,通过,NA
1113,通过,NA
1114,通过,NA
1115,通过,NA
1116,通过,NA
1117,通过,NA
1118,通过,NA
1119,通过,NA
1120,通过,NA
1121,通过,NA
1122,通过,NA
1123,通过,NA
1124,通过,NA
1125,通过,NA
1126,通过,NA
1127,通过,NA
1128,通过,NA
1129,通过,NA
1130,拒绝,存在文本色情不合规
1131,通过,NA
1132,通过,NA
1133,拒绝,存在政治敏感不合规
1134,拒绝,存在恶意推广不合规
1135,通过,NA
1136,通过,NA
1137,通过,NA
1138,通过,NA
1139,拒绝,存在恶意推广不合规
1140,拒绝,存在政治敏感不合规
1141,拒绝,存在恶意推广不合规
1142,通过,NA
1143,通过,NA
1144,拒绝,存在政治敏感不合规
1145,通过,NA
1146,通过,NA
1147,通过,NA
1148,通过,NA
1149,通过,NA
1150,通过,NA
1151,通过,NA
1152,通过,NA
1153,通过,NA
1154,通过,NA
1155,通过,NA
1156,拒绝,存在暴恐违禁不合规;存在恶意推广不合规
1157,通过,NA
1158,通过,NA
1159,通过,NA
1160,通过,NA
1161,拒绝,存在政治敏感不合规
1162,通过,NA
1163,通过,NA
1164,通过,NA
1165,通过,NA
1166,通过,NA
1167,通过,NA
1168,通过,NA
1169,通过,NA
1170,通过,NA
1171,通过,NA
1172,拒绝,存在政治敏感不合规
1173,通过,NA
1174,通过,NA
1175,通过,NA
1176,拒绝,存在政治敏感不合规
1177,通过,NA
1178,通过,NA
1179,拒绝,存在百度官方默认违禁词库不合规
1180,通过,NA
1181,通过,NA
1182,通过,NA
1183,通过,NA
1184,通过,NA
1185,通过,NA
1186,拒绝,存在政治敏感不合规
1187,通过,NA
1188,通过,NA
1189,通过,NA
1190,通过,NA
1191,拒绝,存在政治敏感不合规
1192,通过,NA
1193,通过,NA
1194,通过,NA
1195,通过,NA
1196,通过,NA
1197,通过,NA
1198,通过,NA
1199,拒绝,存在政治敏感不合规
1200,通过,NA
1201,通过,NA
1202,通过,NA
1203,拒绝,存在政治敏感不合规
1204,通过,NA
1205,通过,NA
1206,通过,NA
1207,通过,NA
1208,通过,NA
1209,通过,NA
1210,拒绝,存在暴恐违禁不合规;存在政治敏感不合规
1211,拒绝,存在政治敏感不合规
1212,通过,NA
1213,通过,NA
1214,通过,NA
1215,通过,NA
1216,通过,NA
1217,拒绝,存在恶意推广不合规
1218,通过,NA
1219,通过,NA
1220,通过,NA
1221,通过,NA
1222,通过,NA
1223,通过,NA
1224,通过,NA
1225,通过,NA
1226,通过,NA
1227,通过,NA
1228,通过,NA
1229,拒绝,存在恶意推广不合规
1230,通过,NA
1231,通过,NA
1232,通过,NA
1233,通过,NA
1234,通过,NA
1235,通过,NA
1236,拒绝,存在政治敏感不合规
1237,通过,NA
1238,通过,NA
1239,通过,NA
1240,通过,NA
1241,通过,NA
1242,通过,NA
1243,拒绝,存在政治敏感不合规
1244,通过,NA
1245,通过,NA
1246,通过,NA
1247,拒绝,存在政治敏感不合规
1248,通过,NA
1249,通过,NA
1250,拒绝,疑似存在政治敏感不合规
1251,通过,NA
1252,通过,NA
1253,通过,NA
1254,通过,NA
1255,拒绝,存在政治敏感不合规
1256,通过,NA
1257,拒绝,存在政治敏感不合规
1258,通过,NA
1259,通过,NA
1260,通过,NA
1261,通过,NA
1262,通过,NA
1263,通过,NA
1264,通过,NA
1265,通过,NA
1266,通过,NA
1267,通过,NA
1268,通过,NA
1269,拒绝,疑似存在政治敏感不合规
1270,通过,NA
1271,通过,NA
1272,通过,NA
1273,通过,NA
1274,通过,NA
1275,通过,NA
1276,通过,NA
1277,通过,NA
1278,拒绝,存在政治敏感不合规
1279,通过,NA
1280,拒绝,存在政治敏感不合规
1281,通过,NA
1282,通过,NA
1283,通过,NA
1284,通过,NA
1285,通过,NA
1286,通过,NA
1287,拒绝,疑似存在政治敏感不合规
1288,通过,NA
1289,拒绝,存在政治敏感不合规
1290,通过,NA
1291,通过,NA
1292,通过,NA
1293,通过,NA
1294,通过,NA
1295,通过,NA
1296,通过,NA
1297,拒绝,疑似存在政治敏感不合规
1298,通过,NA
1299,拒绝,存在政治敏感不合规
1300,拒绝,存在政治敏感不合规
1301,通过,NA
1302,拒绝,存在政治敏感不合规
1303,拒绝,存在政治敏感不合规
1304,拒绝,存在政治敏感不合规
1305,通过,NA
1306,拒绝,存在政治敏感不合规
1307,通过,NA
1308,通过,NA
1309,通过,NA
1310,通过,NA
1311,通过,NA
1312,通过,NA
1313,通过,NA
1314,通过,NA
1315,通过,NA
1316,通过,NA
